kfold_file,feature,fold,model_file,val_acc,test_acc,l2_rate,dropout
Dataset_10FoldCV_indexed.csv,texture,1,Dataset_10FoldCV_indexed_models/ENCODER-texture-l2rate0.0001-dropout0.5-fold1.h5,0.8421052694320679,0.8429319262504578,0.0001,0.5
Dataset_10FoldCV_indexed.csv,texture,2,Dataset_10FoldCV_indexed_models/ENCODER-texture-l2rate0.1-dropout0.5-fold2.h5,0.8376963138580322,0.8429319262504578,0.1,0.5
Dataset_10FoldCV_indexed.csv,texture,3,Dataset_10FoldCV_indexed_models/ENCODER-texture-l2rate0.01-dropout0.5-fold3.h5,0.8586387634277344,0.8638743162155151,0.01,0.5
Dataset_10FoldCV_indexed.csv,texture,4,Dataset_10FoldCV_indexed_models/ENCODER-texture-l2rate0.01-dropout0.5-fold4.h5,0.8795811533927917,0.8376963138580322,0.01,0.5
Dataset_10FoldCV_indexed.csv,texture,5,Dataset_10FoldCV_indexed_models/ENCODER-texture-l2rate0.01-dropout0.5-fold5.h5,0.8691099286079407,0.8167539238929749,0.01,0.5
Dataset_10FoldCV_indexed.csv,texture,6,Dataset_10FoldCV_indexed_models/ENCODER-texture-l2rate0.0001-dropout0.5-fold6.h5,0.8062826991081238,0.8795811533927917,0.0001,0.5
Dataset_10FoldCV_indexed.csv,texture,7,Dataset_10FoldCV_indexed_models/ENCODER-texture-l2rate0.1-dropout0.5-fold7.h5,0.8848167657852173,0.8219895362854004,0.1,0.5
Dataset_10FoldCV_indexed.csv,texture,8,Dataset_10FoldCV_indexed_models/ENCODER-texture-l2rate0.001-dropout0.5-fold8.h5,0.8743455410003662,0.8473684191703796,0.001,0.5
Dataset_10FoldCV_indexed.csv,texture,9,Dataset_10FoldCV_indexed_models/ENCODER-texture-l2rate0.01-dropout0.5-fold9.h5,0.8526315689086914,0.8631578683853149,0.01,0.5
Dataset_10FoldCV_indexed.csv,texture,10,Dataset_10FoldCV_indexed_models/ENCODER-texture-l2rate0.001-dropout0.5-fold10.h5,0.8842105269432068,0.8473684191703796,0.001,0.5
